CardNumber,Department,postDate,transDate,Time,Merchant,DriverID,Units,UnitCost,fuelCost,nonFuelCost,GrossCost,netCost
0055 - 1,LOPADU,10/28/2021,10/25/2021,9:36:01 AM,UNBRANDED,408156,9.197,$3.10 ,$28.50 ,$0.00 ,$28.50 ,$28.50 
0264 - 1,LOPADU,10/28/2021,10/25/2021,4:45:33 PM,UNBRANDED,402539,6.33,$3.20 ,$20.25 ,$0.00 ,$20.25 ,$20.25 
0062 - 1,PAWILDER,10/27/2021,10/25/2021,6:45:00 AM,DIAMOND,501114,17.551,$3.13 ,$54.92 ,$0.00 ,$54.92 ,$54.92 
0151 - 1,PAWILDER,10/27/2021,10/25/2021,9:16:33 AM,SPEEDWAY,508993,8.237,$3.05 ,$25.11 ,$0.00 ,$25.11 ,$25.11 
0300 - 1,PAWILDER,10/27/2021,10/25/2021,10:46:00 AM,SHELL,701682,9.7,$3.20 ,$31.06 ,$0.00 ,$31.06 ,$31.06 
0164 - 1,PAWILDER,10/28/2021,10/25/2021,5:57:38 PM,UNBRANDED,502143,21.214,$3.00 ,$63.62 ,$0.00 ,$63.62 ,$63.62 
0191 - 1,PAWILDER,10/28/2021,10/25/2021,10:04:47 AM,UNBRANDED,507519,13.392,$3.00 ,$40.16 ,$0.00 ,$40.16 ,$40.16 
0069 - 1,PAINDY,10/27/2021,10/25/2021,2:09:40 PM,MARATHON,501580,20.686,$2.93 ,$60.59 ,$0.00 ,$60.59 ,$60.59 
0168 - 1,PAINDY,10/27/2021,10/25/2021,8:07:32 PM,CIRCLE K,501627,25.069,$3.36 ,$84.21 ,$0.00 ,$84.21 ,$84.21 
0169 - 1,PAINDY,10/27/2021,10/25/2021,10:57:11 AM,SPEEDWAY,501674,23.902,$3.39 ,$81.00 ,$0.00 ,$81.00 ,$81.00 
0173 - 1,PALEX,10/27/2021,10/25/2021,10:36:27 AM,SPEEDWAY,509779,25.959,$3.16 ,$82.00 ,$0.00 ,$82.00 ,$82.00 
0165 - 1,RMBEAU,10/27/2021,10/25/2021,12:16:00 PM,ENMARK,205315,23.683,$3.15 ,$74.58 ,$0.00 ,$74.58 ,$74.58 
0100 - 1,RMMYRTLE,10/27/2021,10/25/2021,12:19:00 PM,BP,205253,19.5,$3.19 ,$62.19 ,$0.00 ,$62.19 ,$62.19 
0171 - 3,RMCHARL,10/27/2021,10/25/2021,11:01:00 AM,SPINX,209555,9.903,$3.20 ,$31.68 ,$0.00 ,$31.68 ,$31.68 
0193 - 2,RMCHARL,10/28/2021,10/25/2021,2:02:49 PM,QUIKTRIP,203757,13.601,$3.20 ,$43.51 ,$0.00 ,$43.51 ,$43.51 
0112 - 1,WHHRCHMN,10/27/2021,10/25/2021,7:22:00 AM,DIAMOND,602259,11.097,$3.30 ,$36.61 ,$0.00 ,$36.61 ,$36.61 
0116 - 1,WHHRCHMN,10/27/2021,10/25/2021,1:12:00 PM,WAWA,608591,10.912,$3.30 ,$36.00 ,$0.00 ,$36.00 ,$36.00 
0117 - 1,WHHFARM,10/27/2021,10/25/2021,3:31:00 PM,WAWA,990495,12.694,$3.30 ,$41.88 ,$0.00 ,$41.88 ,$41.88 
0138 - 1,CMTWATER,10/27/2021,10/25/2021,2:08:36 PM,CIRCLE K,801911,26.067,$3.30 ,$86.00 ,$0.00 ,$86.00 ,$86.00 
0186 - 1,CMTWATER,10/27/2021,10/25/2021,8:26:00 AM,SHELL,801164,22.23,$3.30 ,$73.35 ,$0.00 ,$73.35 ,$73.35 
0233 - 1,CMTELLS,10/27/2021,10/25/2021,10:16:43 AM,IRVING,802357,23.753,$3.44 ,$81.69 ,$0.00 ,$81.69 ,$81.69 
0325 - 1,RIVERSID,10/27/2021,10/25/2021,6:19:00 PM,MURPHY USA,109718,9.874,$3.04 ,$30.01 ,$0.00 ,$30.01 ,$30.01 
0064 - 2,CMATL,10/27/2021,10/25/2021,8:49:11 AM,CHVRNWF,9649,13.783,$3.30 ,$45.47 ,$0.00 ,$45.47 ,$45.47 
0247 - 1,CMATL,10/27/2021,10/25/2021,11:28:00 AM,BP,4059,14.348,$3.30 ,$47.33 ,$0.00 ,$47.33 ,$47.33 
0280 - 1,CMATL,10/27/2021,10/25/2021,11:07:00 AM,EXXONMOB,1445,19.291,$3.16 ,$60.94 ,$0.00 ,$60.94 ,$60.94 
0281 - 1,CMATL,10/27/2021,10/25/2021,1:39:52 PM,CHVRNWF,7679,16.585,$3.20 ,$53.06 ,$0.00 ,$53.06 ,$53.06 
0145 - 2,CMATL,10/28/2021,10/25/2021,10:35:40 AM,QUIKTRIP,1731,14.491,$3.70 ,$53.60 ,$0.00 ,$53.60 ,$53.60 
0146 - 3,CMATL,10/28/2021,10/25/2021,10:37:10 AM,QUIKTRIP,9357,14.618,$3.20 ,$46.76 ,$0.00 ,$46.76 ,$46.76 
0223 - 2,COOLPRES,10/27/2021,10/25/2021,2:40:23 PM,MARATHON,110467,9.429,$3.14 ,$29.60 ,$0.00 ,$29.60 ,$29.60 
0224 - 2,COOLPRES,10/27/2021,10/25/2021,3:06:00 PM,BP,110360,7.647,$3.14 ,$24.00 ,$0.00 ,$24.00 ,$24.00 
0227 - 1,COOLPRES,10/27/2021,10/25/2021,10:13:24 AM,SPEEDWAY,113859,21.902,$3.06 ,$67.00 ,$0.00 ,$67.00 ,$67.00 
0236 - 1,COOLPIKE,10/27/2021,10/25/2021,9:01:22 AM,SPEEDWAY,122210,11.913,$3.11 ,$37.04 ,$0.00 ,$37.04 ,$37.04 
0204 - 1,COOLHAZA,10/27/2021,10/25/2021,3:11:00 PM,SHELL,117771,19.84,$3.16 ,$62.70 ,$0.00 ,$62.70 ,$62.70 
0232 - 1,COOLLEXI,10/27/2021,10/25/2021,11:54:00 AM,BP,118137,17.86,$3.11 ,$55.53 ,$0.00 ,$55.53 ,$55.53 
0231 - 1,COOLLEXI,10/28/2021,10/25/2021,12:33:27 PM,THORNTON OIL,503672,21.766,$3.03 ,$65.93 ,$0.00 ,$65.93 ,$65.93 
0229 - 1,COOLLOUI,10/28/2021,10/25/2021,1:01:54 PM,UNBRANDED,119344,8.991,$3.23 ,$29.03 ,$0.00 ,$29.03 ,$29.03 
0252 - 1,LOMADISO,10/27/2021,10/25/2021,3:14:10 PM,MARATHON,405293,10.653,$3.10 ,$33.01 ,$0.00 ,$33.01 ,$33.01 
0265 - 1,SWCOLUMB,10/27/2021,10/25/2021,5:23:08 PM,CHVRNWF,135899,13.748,$3.35 ,$46.04 ,$0.00 ,$46.04 ,$46.04 
0266 - 2,MMEJACKS,10/27/2021,10/25/2021,11:40:25 AM,7-ELEVEN,143795,9.745,$3.26 ,$31.76 ,$0.00 ,$31.76 ,$31.76 
0267 - 1,MMEJACKS,10/27/2021,10/25/2021,3:12:49 PM, ,147657,21.361,$3.30 ,$70.47 ,$0.00 ,$70.47 ,$70.47 
0277 - 1,UNASSIGNED,10/27/2021,10/24/2021,5:37:56 PM,CIRCLE K,504657,11.649,$3.08 ,$35.87 ,$0.00 ,$35.87 ,$35.87 
0174 - 2,LO,10/26/2021,10/24/2021,12:59:31 PM,MARATHON,403564,9.4,$3.06 ,$28.75 ,$0.00 ,$28.75 ,$28.75 
0194 - 1,RMDUNCAN,10/26/2021,10/24/2021,9:47:00 AM,SPINX,207134,21.77,$3.18 ,$69.21 ,$0.00 ,$69.21 ,$69.21 
0283 - 1,RMCOLUMB,10/26/2021,10/24/2021,6:04:00 PM,SHELL,206682,24.22,$3.51 ,$85.01 ,$0.00 ,$85.01 ,$85.01 
0160 - 1,LOMURR,10/26/2021,10/24/2021,2:52:00 PM,SHELL,400752,12.17,$3.00 ,$36.52 ,$0.00 ,$36.52 ,$36.52 
0094 - 1,PAWILDER,10/26/2021,10/24/2021,10:16:36 AM,SPEEDWAY,508892,12.334,$2.96 ,$36.50 ,$0.00 ,$36.50 ,$36.50 
0214 - 4,PALEX,10/26/2021,10/24/2021,2:23:00 PM,MURPHY USA,501864,8.557,$3.12 ,$26.69 ,$0.00 ,$26.69 ,$26.69 
0050 - 1,LOMURR,10/26/2021,10/24/2021,1:15:00 PM,SHELL,403236,10.33,$3.00 ,$30.99 ,$0.00 ,$30.99 ,$30.99 
0187 - 1,CM,10/26/2021,10/23/2021,3:11:11 PM,CHVRNWF,6426,13.147,$3.30 ,$43.37 ,$0.00 ,$43.37 ,$43.37 
0261 - 1,BBGREEN,10/26/2021,10/23/2021,3:22:06 PM,CIRCLE K,302626,21.782,$3.37 ,$73.38 ,$0.00 ,$73.38 ,$73.38 
0052 - 1,LOPADU,10/26/2021,10/23/2021,11:26:00 AM,BP,404259,12.325,$3.10 ,$38.20 ,$0.00 ,$38.20 ,$38.20 
0160 - 1,LOMURR,10/26/2021,10/23/2021,10:54:00 AM,SHELL,400752,9.42,$3.05 ,$28.73 ,$0.00 ,$28.73 ,$28.73 
0303 - 1,MSPCORIN,10/26/2021,10/23/2021,1:45:00 PM,EXXONMOB,159908,22.078,$3.00 ,$66.21 ,$0.00 ,$66.21 ,$66.21 
0271 - 1,MMEJACKS,10/26/2021,10/23/2021,11:28:00 AM,EXXONMOB,149260,9.138,$3.29 ,$30.05 ,$0.00 ,$30.05 ,$30.05 
0273 - 1,MMEJACKS,10/26/2021,10/23/2021,5:59:00 PM,RACETRAC,145531,23.175,$3.27 ,$75.76 ,$0.00 ,$75.76 ,$75.76 
0287 - 1,MMEJACK,10/26/2021,10/23/2021,4:46:00 PM,WAWA,149889,19.036,$3.30 ,$62.80 ,$0.00 ,$62.80 ,$62.80 
0171 - 3,RMCHARL,10/26/2021,10/23/2021,8:30:00 AM,UNBRANDED,209555,10.496,$3.20 ,$33.58 ,$0.00 ,$33.58 ,$33.58 
0277 - 1,UNASSIGNED,10/26/2021,10/22/2021,12:43:05 PM,SPEEDWAY,504657,12.212,$3.07 ,$37.48 ,$0.00 ,$37.48 ,$37.48 
0314 - 1,CPOSENAT,10/26/2021,10/22/2021,9:05:40 AM,UNBRANDED,162966,11.221,$3.12 ,$35.00 ,$0.00 ,$35.00 ,$35.00 
0250 - 1,CM,10/26/2021,10/22/2021,12:07:29 PM,CIRCLE K,805334,12.618,$3.33 ,$42.01 ,$0.00 ,$42.01 ,$42.01 
0174 - 2,LO,10/26/2021,10/22/2021,9:10:40 AM,MARATHON,403564,6.432,$3.06 ,$19.68 ,$0.00 ,$19.68 ,$19.68 
0161 - 1,WHH,10/26/2021,10/22/2021,10:29:00 AM,EXXONMOB,603252,17.235,$3.30 ,$56.86 ,$0.00 ,$56.86 ,$56.86 
0007 - 4,BBPORT,10/26/2021,10/22/2021,9:17:00 AM,SHELL,306430,15.47,$3.29 ,$50.88 ,$0.00 ,$50.88 ,$50.88 
0011 - 1,BBPORT,10/26/2021,10/22/2021,6:40:49 PM,CIRCLE K,304274,12.727,$3.36 ,$42.75 ,$0.00 ,$42.75 ,$42.75 
0014 - 1,BBPORT,10/26/2021,10/22/2021,11:45:30 AM,CIRCLE K,309442,21.318,$3.36 ,$71.61 ,$0.00 ,$71.61 ,$71.61 
0279 - 1,RMDUNCAN,10/26/2021,10/22/2021,12:48:25 PM,QUIKTRIP,201275,11.089,$3.08 ,$34.14 ,$0.00 ,$34.14 ,$34.14 
0104 - 1,RMDUNCAN,10/26/2021,10/22/2021,4:15:00 PM,EXXONMOB,209493,10.805,$3.24 ,$35.00 ,$0.00 ,$35.00 ,$35.00 
0192 - 2,RMDUNCAN,10/26/2021,10/22/2021,10:32:00 AM,SPINX,203290,15.845,$3.20 ,$50.69 ,$0.00 ,$50.69 ,$50.69 
0194 - 1,RMDUNCAN,10/26/2021,10/22/2021,5:08:00 PM,UNBRANDED,207134,21.003,$3.20 ,$67.19 ,$0.00 ,$67.19 ,$67.19 
0263 - 1,RMDUNCAN,10/26/2021,10/22/2021,11:08:20 AM,QUIKTRIP,203632,21.435,$3.08 ,$66.00 ,$0.00 ,$66.00 ,$66.00 
0183 - 2,CMGAINS,10/26/2021,10/22/2021,4:05:00 PM,EXXONMOB,7679,22.286,$3.20 ,$71.29 ,$0.00 ,$71.29 ,$71.29 
0262 - 1,CMGAINS,10/26/2021,10/22/2021,1:32:05 PM,CHVRNWF,7381,22.136,$3.26 ,$72.14 ,$0.00 ,$72.14 ,$72.14 
0035 - 1,CMATHENS,10/26/2021,10/22/2021,12:33:00 PM,RACETRAC,8121,8.821,$3.20 ,$28.22 ,$0.00 ,$28.22 ,$28.22 
0181 - 1,CMATHENS,10/26/2021,10/22/2021,2:42:07 PM,MARATHON,7088,16.626,$3.80 ,$63.16 ,$0.00 ,$63.16 ,$63.16 
0241 - 1,CMATHENS,10/26/2021,10/22/2021,6:11:00 PM,EXXONMOB,2178,16.882,$3.20 ,$54.01 ,$0.00 ,$54.01 ,$54.01 
0241 - 1,CMATHENS,10/26/2021,10/22/2021,8:13:00 AM,RACETRAC,2178,21.778,$3.20 ,$69.67 ,$0.00 ,$69.67 ,$69.67 
0253 - 1,CMATHENS,10/26/2021,10/22/2021,5:26:42 PM,7-ELEVEN,3887,11.211,$3.10 ,$34.74 ,$0.00 ,$34.74 ,$34.74 
0055 - 1,LOPADU,10/26/2021,10/22/2021,12:04:52 PM,MARATHON,408156,9.939,$3.12 ,$31.00 ,$0.00 ,$31.00 ,$31.00 
0258 - 2,LOPADU,10/26/2021,10/22/2021,4:21:00 PM,MURPHY USA,403215,8.769,$3.08 ,$27.00 ,$0.00 ,$27.00 ,$27.00 
0264 - 1,LOPADU,10/26/2021,10/22/2021,11:04:27 AM,UNBRANDED,402539,7.664,$3.10 ,$23.75 ,$0.00 ,$23.75 ,$23.75 
0160 - 1,LOMURR,10/26/2021,10/22/2021,9:36:00 AM,HUCKS,400752,19.152,$3.07 ,$58.78 ,$0.00 ,$58.78 ,$58.78 
0070 - 1,PAWILDER,10/25/2021,10/22/2021,8:20:46 AM,UNITED DAIRY,502020,11.527,$3.53 ,$40.68 ,$0.00 ,$40.68 ,$40.68 
0177 - 1,PAWILDER,10/26/2021,10/22/2021,5:01:00 PM,BP,506985,13.662,$3.25 ,$44.39 ,$0.00 ,$44.39 ,$44.39 
0166 - 1,PAINDY,10/26/2021,10/22/2021,7:50:22 AM,MARATHON,506697,11.244,$3.40 ,$38.22 ,$0.00 ,$38.22 ,$38.22 
0168 - 1,PAINDY,10/26/2021,10/22/2021,3:38:23 PM,SPEEDWAY,501627,24.067,$3.23 ,$77.71 ,$0.00 ,$77.71 ,$77.71 
0074 - 1,PALEX,10/26/2021,10/22/2021,7:08:42 PM,SPEEDWAY,507824,27.229,$3.16 ,$86.02 ,$0.00 ,$86.02 ,$86.02 
0165 - 1,RMBEAU,10/26/2021,10/22/2021,11:15:38 AM,LOVES,205315,19.87,$3.05 ,$60.58 ,$0.00 ,$60.58 ,$60.58 
0239 - 1,RMBEAU,10/26/2021,10/22/2021,2:27:00 PM,SUNOCO,203773,11.123,$3.30 ,$36.69 ,$0.00 ,$36.69 ,$36.69 
0244 - 1,RMBEAU,10/26/2021,10/22/2021,10:38:00 AM,UNBRANDED,209561,23.445,$3.20 ,$75.00 ,$0.00 ,$75.00 ,$75.00 
0284 - 1,RMMYRTLE,10/26/2021,10/22/2021,9:59:00 AM,MURPHY USA,201791,18.817,$3.19 ,$60.01 ,$0.00 ,$60.01 ,$60.01 
0101 - 1,RMMYRTLE,10/26/2021,10/22/2021,12:05:43 PM,CIRCLE K,209794,7.716,$3.94 ,$30.39 ,$0.00 ,$30.39 ,$30.39 
0193 - 2,RMCHARL,10/26/2021,10/22/2021,4:31:00 PM,EXXONMOB,201502,19.689,$3.15 ,$62.00 ,$0.00 ,$62.00 ,$62.00 
0185 - 1,CMTWATER,10/26/2021,10/22/2021,10:55:13 AM,CIRCLE K,801164,23.501,$3.32 ,$78.00 ,$0.00 ,$78.00 ,$78.00 
0150 - 1,RIVERSID,10/26/2021,10/22/2021,11:23:00 AM,SHELL,106861,9.89,$3.20 ,$31.66 ,$0.00 ,$31.66 ,$31.66 
0281 - 1,CMATL,10/26/2021,10/22/2021,8:55:35 PM,CHVRNWF,7679,19.909,$3.20 ,$63.69 ,$0.00 ,$63.69 ,$63.69 
0145 - 2,CMATL,10/26/2021,10/22/2021,12:24:17 PM,QUIKTRIP,1731,20.925,$3.20 ,$66.94 ,$0.00 ,$66.94 ,$66.94 
0146 - 3,CMATL,10/26/2021,10/22/2021,9:41:11 AM,QUIKTRIP,9357,19.852,$3.20 ,$63.51 ,$0.00 ,$63.51 ,$63.51 
0209 - 1,COOLPIKE,10/26/2021,10/22/2021,8:19:00 AM,UNBRANDED,116605,11.763,$3.39 ,$39.86 ,$0.00 ,$39.86 ,$39.86 
0226 - 1,COOLHAZA,10/26/2021,10/22/2021,4:18:00 PM,SHELL,118847,20.57,$3.16 ,$65.00 ,$0.00 ,$65.00 ,$65.00 
0232 - 1,COOLLEXI,10/26/2021,10/22/2021,10:58:34 AM,MARATHON,118137,12.341,$3.11 ,$38.37 ,$0.00 ,$38.37 ,$38.37 
0235 - 2,COOLNORT,10/26/2021,10/22/2021,7:29:43 AM,MARATHON,113038,10.635,$3.01 ,$32.00 ,$0.00 ,$32.00 ,$32.00 
0222 - 1,AMSFAIR,10/26/2021,10/22/2021,10:59:00 AM,SHELL,128379,14.05,$3.43 ,$48.19 ,$0.00 ,$48.19 ,$48.19 
0273 - 1,MMEJACKS,10/26/2021,10/22/2021,10:07:48 AM,GATE,145531,21.749,$3.29 ,$71.53 ,$0.00 ,$71.53 ,$71.53 
0268 - 1,MMEJACKS,10/26/2021,10/22/2021,10:20:00 AM,EXXONMOB,147034,10.307,$3.30 ,$34.00 ,$0.00 ,$34.00 ,$34.00 
0272 - 1,MMEJACKS,10/26/2021,10/22/2021,11:19:00 AM,EXXONMOB,145665,22.866,$3.20 ,$73.15 ,$0.00 ,$73.15 ,$73.15 
0269 - 1,MMEJACKS,10/26/2021,10/22/2021,2:34:06 PM,CIRCLE K,29057,12.696,$3.30 ,$41.88 ,$0.00 ,$41.88 ,$41.88 
0278 - 1,MSPNEWAL,10/26/2021,10/22/2021,9:46:00 AM,SHELL,156272,11.54,$3.10 ,$35.77 ,$0.00 ,$35.77 ,$35.77 
0304 - 1,MSPNEWAL,10/26/2021,10/22/2021,10:23:00 AM,SHELL,156272,22.49,$3.10 ,$69.72 ,$0.00 ,$69.72 ,$69.72 
0308 - 1,CPOPARAG,10/26/2021,10/22/2021,2:58:21 PM,UNBRANDED,165491,13.151,$3.12 ,$41.02 ,$0.00 ,$41.02 ,$41.02 
0312 - 1,CPOSENAT,10/26/2021,10/22/2021,8:19:13 AM,KUM & GO,162329,8.335,$3.00 ,$25.00 ,$0.00 ,$25.00 ,$25.00 
0219 - 1,UNASSIGNED,10/26/2021,10/22/2021,10:11:00 AM,SHELL,124466,15.82,$3.43 ,$54.25 ,$0.00 ,$54.25 ,$54.25 
0228 - 1,COOLPIKE,10/25/2021,10/21/2021,12:19:00 PM,UNBRANDED,118215,22.267,$3.10 ,$69.01 ,$0.00 ,$69.01 ,$69.01 
0204 - 1,COOLHAZA,10/25/2021,10/21/2021,10:40:00 AM,BP,117771,18.621,$3.15 ,$58.64 ,$0.00 ,$58.64 ,$58.64 
0231 - 1,COOLLEXI,10/25/2021,10/21/2021,8:54:44 AM,SPEEDWAY,503672,22.866,$3.16 ,$72.23 ,$0.00 ,$72.23 ,$72.23 
0232 - 1,COOLLEXI,10/25/2021,10/21/2021,11:30:51 AM,SPEEDWAY,118137,20.749,$3.11 ,$64.51 ,$0.00 ,$64.51 ,$64.51 
0229 - 1,COOLLOUI,10/25/2021,10/21/2021,2:19:00 PM,BP,119344,9.243,$3.03 ,$28.00 ,$0.00 ,$28.00 ,$28.00 
0213 - 2,COOLNORT,10/25/2021,10/21/2021,2:06:21 PM,MARATHON,118328,21.043,$3.16 ,$66.47 ,$0.00 ,$66.47 ,$66.47 
0266 - 2,MMEJACKS,10/25/2021,10/21/2021,10:32:00 AM,SHELL,143795,9.35,$3.30 ,$30.85 ,$0.00 ,$30.85 ,$30.85 
0270 - 1,MMEJACKS,10/26/2021,10/21/2021,4:16:00 PM,EXXONMOB,148657,24.279,$3.32 ,$80.58 ,$0.00 ,$80.58 ,$80.58 
0302 - 1,MSPCORIN,10/25/2021,10/21/2021,8:10:53 AM,KROGER,159908,23.077,$2.98 ,$68.75 ,$0.00 ,$68.75 ,$68.75 
0313 - 1,CPOSENAT,10/25/2021,10/21/2021,12:36:36 PM,UNBRANDED,163381,14.332,$3.10 ,$44.41 ,$0.00 ,$44.41 ,$44.41 
0314 - 1,CPOSENAT,10/25/2021,10/21/2021,8:30:11 AM,KUM & GO,162329,10.27,$3.00 ,$30.80 ,$0.00 ,$30.80 ,$30.80 
0315 - 1,CPOSENAT,10/26/2021,10/21/2021,8:56:56 AM,UNBRANDED,162966,10.851,$3.12 ,$33.84 ,$0.00 ,$33.84 ,$33.84 
0291 - 1,BB,10/25/2021,10/21/2021,9:49:17 AM,CIRCLE K,309522,14.973,$3.33 ,$49.85 ,$0.00 ,$49.85 ,$49.85 
0176 - 2,BB,10/26/2021,10/21/2021,2:12:00 PM,SUNOCO,302266,10.617,$3.30 ,$35.03 ,$0.00 ,$35.03 ,$35.03 
0217 - 1,UNASSIGNED,10/25/2021,10/21/2021,8:48:11 AM,CIRCLE K,121392,20.094,$3.45 ,$69.30 ,$0.00 ,$69.30 ,$69.30 
0250 - 1,CM,10/25/2021,10/21/2021,7:51:35 AM,CIRCLE K,805334,12.317,$3.33 ,$41.00 ,$0.00 ,$41.00 ,$41.00 
0174 - 2,LO,10/25/2021,10/21/2021,8:49:13 AM,MARATHON,403564,8.019,$3.06 ,$24.53 ,$0.00 ,$24.53 ,$24.53 
0296 - 1,PA,10/25/2021,10/21/2021,4:24:22 PM,MARATHON,406635,20.723,$3.09 ,$64.01 ,$0.00 ,$64.01 ,$64.01 
0161 - 1,WHH,10/25/2021,10/21/2021,10:13:26 AM,MARATHON,603252,19.777,$3.20 ,$63.27 ,$0.00 ,$63.27 ,$63.27 
0001 - 1,BBPORT,10/25/2021,10/21/2021,2:36:13 PM,CITGO,309846,13.356,$3.37 ,$45.00 ,$0.00 ,$45.00 ,$45.00 
0011 - 1,BBPORT,10/25/2021,10/21/2021,4:20:19 PM,CIRCLE K,304274,13.095,$3.33 ,$43.59 ,$0.00 ,$43.59 ,$43.59 
0194 - 1,RMDUNCAN,10/25/2021,10/21/2021,3:12:00 PM,SPINX,207134,17.321,$3.20 ,$55.41 ,$0.00 ,$55.41 ,$55.41 
0192 - 2,RMDUNCAN,10/25/2021,10/21/2021,10:26:00 AM,SPINX,203290,10.797,$3.50 ,$37.78 ,$0.00 ,$37.78 ,$37.78 
0263 - 1,RMDUNCAN,10/25/2021,10/21/2021,10:35:25 AM,QUIKTRIP,203632,16.238,$3.08 ,$50.00 ,$0.00 ,$50.00 ,$50.00 
0261 - 1,BBGREEN,10/26/2021,10/21/2021,3:06:54 PM,7-ELEVEN,302626,22.552,$3.30 ,$74.40 ,$0.00 ,$74.40 ,$74.40 
0294 - 1,CMSAV,10/25/2021,10/21/2021,2:21:00 PM,SHELL,204558,16.1,$3.40 ,$54.74 ,$0.00 ,$54.74 ,$54.74 
0319 - 2,CMSAV,10/25/2021,10/21/2021,8:58:00 AM,ENMARK,1677,11.77,$3.30 ,$38.83 ,$0.00 ,$38.83 ,$38.83 
0018 - 2,CMSAV,10/25/2021,10/21/2021,5:24:00 PM,BP,203920,8.492,$3.30 ,$28.02 ,$0.00 ,$28.02 ,$28.02 
0026 - 1,CMCP,10/25/2021,10/21/2021,5:12:00 PM,SHELL,3176,11.17,$3.70 ,$41.34 ,$0.00 ,$41.34 ,$41.34 
0262 - 1,CMGAINS,10/25/2021,10/21/2021,11:58:00 AM,RACETRAC,7381,22.106,$3.20 ,$70.72 ,$0.00 ,$70.72 ,$70.72 
0237 - 2,CMGAINS,10/26/2021,10/21/2021,12:59:00 PM,EXXONMOB,4976,8.603,$3.20 ,$27.52 ,$0.00 ,$27.52 ,$27.52 
0181 - 1,CMATHENS,10/25/2021,10/21/2021,1:20:24 PM,CHVRNWF,7088,9.115,$3.59 ,$32.71 ,$0.00 ,$32.71 ,$32.71 
0260 - 1,CMATHENS,10/25/2021,10/21/2021,4:02:00 PM,DIAMOND,8239,10.668,$3.20 ,$34.13 ,$0.00 ,$34.13 ,$34.13 
0297 - 1,CMATHENS,10/25/2021,10/21/2021,9:45:07 AM,CITGO,8581,23.18,$3.01 ,$69.75 ,$0.00 ,$69.75 ,$69.75 
0037 - 1,CMATHENS,10/25/2021,10/21/2021,2:55:07 PM,QUIKTRIP,8908,25.897,$3.20 ,$82.84 ,$0.00 ,$82.84 ,$82.84 
0258 - 2,LOPADU,10/25/2021,10/21/2021,3:31:00 PM,MURPHY USA,403215,9.381,$2.88 ,$27.01 ,$0.00 ,$27.01 ,$27.01 
0048 - 1,LOPADU,10/25/2021,10/21/2021,5:20:16 PM,MARATHON,408577,7.557,$3.09 ,$23.34 ,$0.00 ,$23.34 ,$23.34 
0055 - 1,LOPADU,10/25/2021,10/21/2021,10:05:28 AM,MARATHON,408156,10.582,$3.12 ,$33.01 ,$0.00 ,$33.01 ,$33.01 
0130 - 1,LOPADU,10/25/2021,10/21/2021,3:01:45 PM,MARATHON,406005,14.343,$3.00 ,$43.01 ,$0.00 ,$43.01 ,$43.01 
0245 - 1,LOMURR,10/25/2021,10/21/2021,9:47:00 AM,SHELL,400752,19.69,$3.10 ,$61.05 ,$0.00 ,$61.05 ,$61.05 
0049 - 2,LOMURR,10/25/2021,10/21/2021,9:47:42 AM,MARATHON,406152,6.891,$3.20 ,$22.04 ,$0.00 ,$22.04 ,$22.04 
0190 - 1,PAWILDER,10/25/2021,10/21/2021,1:37:18 PM,MARATHON,503946,14.326,$3.30 ,$47.26 ,$0.00 ,$47.26 ,$47.26 
0061 - 1,PAWILDER,10/25/2021,10/21/2021,9:45:00 AM,BP,507106,8.701,$2.93 ,$25.49 ,$0.00 ,$25.49 ,$25.49 
0061 - 1,PAWILDER,10/25/2021,10/21/2021,6:34:13 PM,MARATHON,507106,18.558,$3.00 ,$55.66 ,$0.00 ,$55.66 ,$55.66 
0088 - 2,PAWILDER,10/25/2021,10/21/2021,2:10:00 PM,SPINX,206724,10.346,$3.20 ,$33.10 ,$0.00 ,$33.10 ,$33.10 
0092 - 1,PAWILDER,10/25/2021,10/21/2021,3:20:58 PM,MARATHON,508598,10.404,$2.99 ,$31.10 ,$0.00 ,$31.10 ,$31.10 
0293 - 1,PAWILDER,10/26/2021,10/21/2021,4:17:34 PM,UNBRANDED,504253,19.623,$3.00 ,$58.85 ,$0.00 ,$58.85 ,$58.85 
0326 - 1,PAWILDER,10/26/2021,10/21/2021,12:36:38 PM,UNBRANDED,503910,10.12,$3.00 ,$30.35 ,$0.00 ,$30.35 ,$30.35 
0188 - 1,PAWILDER,10/26/2021,10/21/2021,1:49:57 PM,UNBRANDED,508441,19.468,$3.00 ,$58.38 ,$0.00 ,$58.38 ,$58.38 
0191 - 1,PAWILDER,10/26/2021,10/21/2021,9:43:22 AM,UNBRANDED,507519,15.318,$3.00 ,$45.94 ,$0.00 ,$45.94 ,$45.94 
0168 - 1,PAINDY,10/25/2021,10/21/2021,10:43:27 AM,SPEEDWAY,501627,21.5,$3.36 ,$72.22 ,$0.00 ,$72.22 ,$72.22 
0169 - 1,PAINDY,10/25/2021,10/21/2021,7:46:58 AM,MARATHON,501674,23.974,$3.38 ,$81.01 ,$0.00 ,$81.01 ,$81.01 
0165 - 1,RMBEAU,10/25/2021,10/21/2021,7:53:00 AM,ENMARK,205315,23.035,$3.20 ,$73.69 ,$0.00 ,$73.69 ,$73.69 
